=================================================================
  HSW-SF Pretest Training Loop
  Device : mps
  Nodes  : 20  |  Episodes : 30  |  Steps/ep : 100
=================================================================
[Data] Loading EuroSAT dataset (this may take a moment if downloading...)
  Ep  11 | Step   30 | G-Step   1030 |  R=-34657.635  V_top=1.3103  η=0.514  L_cut=10  FALLBACK  T_loss=0.000  S_loss=1.704  CritL=225615447.4839  ActL=437.5881
  Ep  11 | Step   40 | G-Step   1040 |  R=-0.281  V_top=1.3995  η=0.524  L_cut= 2  FALLBACK  T_loss=0.000  S_loss=1.157  CritL=223249118.2439  ActL=445.9222
  Ep  11 | Step   50 | G-Step   1050 |  R=-0.602  V_top=1.4146  η=0.579  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=0.653  CritL=229245929.5686  ActL=455.3221
  Ep  11 | Step   60 | G-Step   1060 |  R=-0.289  V_top=1.3919  η=0.501  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=2.114  CritL=228149843.5410  ActL=465.7019
  Ep  11 | Step   70 | G-Step   1070 |  R=-0.288  V_top=1.4319  η=0.533  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=1.486  CritL=232274548.3944  ActL=475.6113
  Ep  11 | Step   80 | G-Step   1080 |  R=-0.284  V_top=1.4374  η=0.505  L_cut=11  FALLBACK  T_loss=0.000  S_loss=1.083  CritL=228746905.9753  ActL=485.8235
  Ep  11 | Step   90 | G-Step   1090 |  R=-0.564  V_top=1.4417  η=0.569  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.152  CritL=228834954.8132  ActL=497.2649

>>> Episode  11 done  |  Return=-173319.42  Avg10=-232249.13  Time=23.0s  Buffer=17356  Alive_nodes=20/20

  Ep  12 | Step    0 | G-Step   1100 |  R=-0.270  V_top=0.0950  η=69315.265  L_cut= 1  SplitFed  T_loss=1.906  S_loss=2.247  CritL=237174080.0000  ActL=590.2807
  Ep  12 | Step   10 | G-Step   1110 |  R=-0.254  V_top=1.0085  η=0.526  L_cut= 3  FALLBACK  T_loss=0.000  S_loss=1.515  CritL=200194722.9091  ActL=634.9012
  Ep  12 | Step   20 | G-Step   1120 |  R=-0.310  V_top=1.3265  η=0.536  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=1.152  CritL=231297046.8571  ActL=649.8477
  Ep  12 | Step   30 | G-Step   1130 |  R=-34657.651  V_top=1.3103  η=0.514  L_cut= 5  FALLBACK  T_loss=0.000  S_loss=0.636  CritL=232294078.4516  ActL=663.9269
  Ep  12 | Step   40 | G-Step   1140 |  R=-0.277  V_top=1.3995  η=0.524  L_cut= 2  FALLBACK  T_loss=0.000  S_loss=1.480  CritL=224360416.0000  ActL=675.6137
  Ep  12 | Step   50 | G-Step   1150 |  R=-0.283  V_top=1.4146  η=0.579  L_cut= 1  FALLBACK  T_loss=0.000  S_loss=1.431  CritL=221294376.7843  ActL=689.6256
  Ep  12 | Step   60 | G-Step   1160 |  R=-0.310  V_top=1.3919  η=0.501  L_cut= 8  FALLBACK  T_loss=0.000  S_loss=1.646  CritL=224801874.3607  ActL=703.4263
  Ep  12 | Step   70 | G-Step   1170 |  R=-0.284  V_top=1.4319  η=0.533  L_cut= 8  FALLBACK  T_loss=0.000  S_loss=1.253  CritL=225803816.6761  ActL=717.1387
  Ep  12 | Step   80 | G-Step   1180 |  R=-0.259  V_top=1.4374  η=0.505  L_cut= 7  FALLBACK  T_loss=0.000  S_loss=1.738  CritL=227907453.7284  ActL=732.0094
  Ep  12 | Step   90 | G-Step   1190 |  R=-0.274  V_top=1.4417  η=0.569  L_cut= 9  FALLBACK  T_loss=0.000  S_loss=1.373  CritL=226551156.1319  ActL=748.5940

>>> Episode  12 done  |  Return=-242632.49  Avg10=-246109.97  Time=22.5s  Buffer=19356  Alive_nodes=20/20

  Ep  13 | Step    0 | G-Step   1200 |  R=-0.256  V_top=0.0950  η=69315.265  L_cut= 1  SplitFed  T_loss=2.787  S_loss=1.938  CritL=273169792.0000  ActL=892.1387
  Ep  13 | Step   10 | G-Step   1210 |  R=-0.261  V_top=1.0085  η=0.526  L_cut= 6  FALLBACK  T_loss=0.000  S_loss=1.011  CritL=262051360.0000  ActL=934.1788
